element_id,size,ceiling_x_mm,ceiling_y_mm,finished_main_cable_mm,yoke_drop_mm,element_origin_drop_mm,top_edge_drop_mm,lowest_edge_drop_mm,target_yaw_deg,wing_fold_deg,nominal_wingspan_mm,nominal_body_axis_length_mm,nominal_thickness_mm,material_tier,design_release
VX-115,M,-74.794,-394.997,2212.112,2212.112,2293.418,2240.112,2299.118,33.725,42.0,146,82,6,LUX-GL,1.3.0
VX-116,M,5.552,-298.194,2495.723,2495.723,2577.028,2523.723,2582.728,206.234,42.0,146,82,6,LUX-GL,1.3.0
VX-117,M,-132.949,-423.656,2376.96,2376.96,2458.265,2404.96,2463.965,302.173,42.0,146,82,6,LUX-GL,1.3.0
VX-118,M,40.088,-353.093,2794.716,2794.716,2876.022,2822.716,2881.722,280.076,42.0,146,82,6,LUX-GL,1.3.0
VX-119,M,-121.601,-487.52,2541.844,2541.844,2623.15,2569.844,2628.85,219.624,42.0,146,82,6,LUX-GL,1.3.0
VX-120,M,-9.857,-394.447,2020.726,2020.726,2102.032,2048.726,2107.732,41.818,42.0,146,82,6,LUX-GL,1.3.0
VX-121,M,83.28,-304.219,2170.255,2170.255,2251.56,2198.255,2257.26,278.532,42.0,146,82,6,LUX-GL,1.3.0
VX-122,M,-0.232,-458.602,2588.048,2588.048,2669.353,2616.048,2675.053,297.667,42.0,146,82,6,LUX-GL,1.3.0
VX-123,M,113.405,-361.68,2066.957,2066.957,2148.262,2094.957,2153.962,55.54,42.0,146,82,6,LUX-GL,1.3.0
VX-124,M,134.846,-261.771,2484.767,2484.767,2566.073,2512.767,2571.773,228.705,42.0,146,82,6,LUX-GL,1.3.0
VX-125,M,70.597,-410.415,2366.077,2366.077,2447.382,2394.077,2453.082,296.019,42.0,146,82,6,LUX-GL,1.3.0
VX-126,M,163.306,-320.072,2649.777,2649.777,2731.083,2677.777,2736.783,322.366,42.0,146,82,6,LUX-GL,1.3.0
VX-127,M,121.961,-450.019,2665.232,2665.232,2746.537,2693.232,2752.237,327.255,42.0,146,82,6,LUX-GL,1.3.0
VX-128,M,217.854,-355.152,2412.439,2412.439,2493.745,2440.439,2499.445,70.249,42.0,146,82,6,LUX-GL,1.3.0
VX-129,M,196.713,-241.831,2964.421,2964.421,3045.726,2992.421,3051.426,219.907,42.0,146,82,6,LUX-GL,1.3.0
VX-130,M,168.109,-396.755,2577.518,2577.518,2658.823,2605.518,2664.523,307.962,42.0,146,82,6,LUX-GL,1.3.0
VX-131,M,236.544,-292.883,2190.623,2190.623,2271.929,2218.623,2277.629,330.104,42.0,146,82,6,LUX-GL,1.3.0
VX-132,M,224.369,-429.1,3010.885,3010.885,3092.19,3038.885,3097.89,313.433,42.0,146,82,6,LUX-GL,1.3.0
VX-133,M,281.077,-339.921,2758.135,2758.135,2839.44,2786.135,2845.14,79.478,42.0,146,82,6,LUX-GL,1.3.0
VX-134,M,260.865,-232.612,2505.393,2505.393,2586.698,2533.393,2592.398,293.324,42.0,146,82,6,LUX-GL,1.3.0
VX-135,M,306.729,-399.416,2655.041,2655.041,2736.347,2683.041,2742.047,313.355,42.0,146,82,6,LUX-GL,1.3.0
VX-136,M,305.365,-279.743,3072.953,3072.953,3154.259,3100.953,3159.959,96.82,42.0,146,82,6,LUX-GL,1.3.0
VX-137,M,279.342,-170.419,2283.725,2283.725,2365.031,2311.725,2370.731,326.757,42.0,146,82,6,LUX-GL,1.3.0
VX-138,M,359.323,-315.11,2299.271,2299.271,2380.576,2327.271,2386.276,313.618,42.0,146,82,6,LUX-GL,1.3.0
VX-139,M,324.054,-217.341,2851.334,2851.334,2932.639,2879.334,2938.339,331.039,42.0,146,82,6,LUX-GL,1.3.0
VX-140,M,416.042,-346.5,2866.895,2866.895,2948.201,2894.895,2953.901,327.461,42.0,146,82,6,LUX-GL,1.3.0
VX-141,M,378.795,-252.267,2614.209,2614.209,2695.515,2642.209,2701.215,111.109,42.0,146,82,6,LUX-GL,1.3.0
VX-142,M,342.142,-155.079,2779.39,2779.39,2860.695,2807.39,2866.395,330.329,42.0,146,82,6,LUX-GL,1.3.0
VX-143,M,434.815,-284.184,3181.881,3181.881,3263.186,3209.881,3268.886,327.601,42.0,146,82,6,LUX-GL,1.3.0
VX-144,M,396.93,-189.847,2392.708,2392.708,2474.013,2420.708,2479.713,330.386,42.0,146,82,6,LUX-GL,1.3.0
VX-145,M,491.278,-316.278,2408.307,2408.307,2489.613,2436.307,2495.313,330.165,42.0,146,82,6,LUX-GL,1.3.0
VX-146,M,453.33,-222.193,2960.425,2960.425,3041.73,2988.425,3047.43,115.59,42.0,146,82,6,LUX-GL,1.3.0
